მოსამართლე,url,თარიღი,pdf count
გოჩა დიდავა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=2461291&instanceId=1,14.07.2023 16:40,1
ალექსანდრე გზირიშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7313472&instanceId=1,30.05.2023 16:53,2
ზაალ მარუაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7354422&instanceId=1,30.05.2023 15:36,2
ზაალ მარუაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7313772&instanceId=1,30.05.2023 14:59,2
დარინა აბულაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7300675&instanceId=1,24.05.2023 17:36,2
ალექსანდრე გზირიშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7238722&instanceId=1,16.05.2023 16:51,2
ზვიად ესებუა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=1487476&instanceId=1,25.04.2023 16:53,2
ზაალ მარუაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7141656&instanceId=1,19.04.2023 18:05,2
ლიანა კაჟაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7134333&instanceId=1,19.04.2023 14:00,3
ალექსანდრე გზირიშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7051075&instanceId=1,03.04.2023 16:10,6
გოჩა დიდავა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7027322&instanceId=1,27.03.2023 11:35,3
არჩილ კოჭლამაზაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6979992&instanceId=1,17.03.2023 15:02,5
ალექსანდრე გზირიშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6946686&instanceId=1,10.03.2023 13:16,6
გოჩა დიდავა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6906497&instanceId=1,27.02.2023 17:38,2
არჩილ კოჭლამაზაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6814469&instanceId=1,06.02.2023 17:56,2
ზაალ მარუაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6793203&instanceId=1,06.02.2023 11:28,3
თამარ ბურჯანაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6782936&instanceId=1,03.02.2023 11:32,2
ციცინო მოსიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=2001930&instanceId=1,25.01.2023 19:08,6
თამარ ბურჯანაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6711857&instanceId=1,20.01.2023 14:38,3
ლიანა კაჟაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6702865&instanceId=1,17.01.2023 13:49,2
ალექსანდრე გზირიშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6663050&instanceId=1,13.01.2023 12:36,3
ციცინო მოსიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6693416&instanceId=1,12.01.2023 12:55,1
ვერა დობორჯგინიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6252068&instanceId=1,10.01.2023 15:44,1
ივერი აბაშიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7367188&instanceId=1,07.06.2023 16:47,1
ზაალ მარუაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7468751&instanceId=1,27.06.2023 15:52,2
ლიანა კაჟაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7521436&instanceId=1,11.07.2023 13:27,1
მანანა ნიკაჭაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7336520&instanceId=1,07.06.2023 20:38,2
დარინა აბულაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7335970&instanceId=1,06.06.2023 13:21,1
არჩილ კოჭლამაზაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6653085&instanceId=1,10.01.2023 10:14,3
სალომე გველესიანი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6619072&instanceId=1,27.12.2022 16:53,2
გოჩა დიდავა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7336499&instanceId=1,01.06.2023 18:11,3
ციცინო მოსიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=7388423&instanceId=1,08.06.2023 14:05,1
ივერი აბაშიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=124943&instanceId=1,20.12.2022 15:51,14
ალექსანდრე გზირიშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6451632&instanceId=1,18.11.2022 11:23,1
გოჩა დიდავა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=474553&instanceId=1,25.11.2022 16:34,11
ანა ჩოგოვაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6379337&instanceId=1,14.11.2022 11:46,3
სალომე გველესიანი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6498433&instanceId=1,02.12.2022 19:39,3
ლიანა კაჟაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5920516&instanceId=1,29.11.2022 16:56,3
სალომე გველესიანი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6204060&instanceId=1,29.09.2022 14:09,2
გოჩა დიდავა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6287476&instanceId=1,17.10.2022 17:44,7
ნონა ზარქუა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6230104&instanceId=1,07.10.2022 18:32,3
ლიანა კაჟაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6347202&instanceId=1,01.11.2022 14:11,3
ზვიად ესებუა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6383418&instanceId=1,04.11.2022 13:48,3
გოჩა დიდავა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=13800&instanceId=1,25.10.2022 17:38,4
ნათია შიოშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6145178&instanceId=1,09.09.2022 18:28,5
შოთა ნიკურაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=67586&instanceId=1,20.09.2022 18:40,10
ზვიად ესებუა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6287629&instanceId=1,18.10.2022 18:03,12
მანანა ნიკაჭაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6139092&instanceId=1,08.09.2022 09:57,1
მანანა ნიკაჭაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6123527&instanceId=1,07.09.2022 20:09,11
ნათია შიოშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6208669&instanceId=1,28.09.2022 13:31,2
ივერი აბაშიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6101753&instanceId=1,25.08.2022 12:02,13
ვერა დობორჯგინიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6088470&instanceId=1,24.08.2022 17:49,3
ვერა დობორჯგინიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6088032&instanceId=1,19.08.2022 19:01,1
გოჩა დიდავა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6091698&instanceId=1,23.08.2022 14:13,7
გოჩა დიდავა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6072442&instanceId=1,17.08.2022 20:26,5
ციცინო კიკვაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6010709&instanceId=1,16.08.2022 16:57,9
დარინა აბულაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6067674&instanceId=1,12.08.2022 17:10,2
ანა ჩოგოვაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6070031&instanceId=1,12.08.2022 09:54,3
ნონა ზარქუა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6024973&instanceId=1,04.08.2022 13:12,2
ნონა ზარქუა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6030301&instanceId=1,04.08.2022 13:12,2
სალომე გველესიანი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5869809&instanceId=1,10.06.2022 20:37,7
არჩილ კოჭლამაზაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5937003&instanceId=1,05.07.2022 13:57,7
ციცინო კიკვაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5892513&instanceId=1,23.06.2022 12:00,10
დარინა აბულაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5991578&instanceId=1,22.07.2022 19:17,17
ზაალ მარუაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5932286&instanceId=1,28.06.2022 18:30,6
ანა ჩოგოვაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=6022550&instanceId=1,12.08.2022 09:50,2
ივერი აბაშიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=684443&instanceId=1,09.06.2022 17:35,7
ნატა თედეშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4467636&instanceId=1,16.05.2022 19:14,3
ზაალ მარუაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5847030&instanceId=1,08.06.2022 15:53,3
თამარ ბურჯანაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5771433&instanceId=1,17.05.2022 17:23,17
არჩილ კოჭლამაზაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5702807&instanceId=1,26.04.2022 16:08,3
ნონა ზარქუა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5745117&instanceId=1,12.05.2022 01:35,2
ანა ჩოგოვაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5492612&instanceId=1,15.04.2022 12:56,3
ზაალ მარუაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5691008&instanceId=1,26.04.2022 11:20,4
ნინო ენუქიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5563781&instanceId=1,15.04.2022 14:50,5
ციცინო კიკვაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=1013977&instanceId=1,01.04.2022 11:32,4
ნათია შიოშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5615265&instanceId=1,31.03.2022 19:01,2
თამარ ბურჯანაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5610114&instanceId=1,01.04.2022 17:32,8
ლიანა კაჟაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5522735&instanceId=1,04.03.2022 15:46,5
ნინო ენუქიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5495362&instanceId=1,24.02.2022 14:47,1
მანანა ნიკაჭაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=123912&instanceId=1,27.02.2022 14:23,6
თინა ვაშაყმაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=2606194&instanceId=1,21.03.2022 17:30,6
დარინა აბულაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5592368&instanceId=1,25.03.2022 18:33,4
არჩილ კოჭლამაზაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5541262&instanceId=1,05.03.2022 00:21,48
ვერა დობორჯგინიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5496753&instanceId=1,24.02.2022 10:27,2
დარინა აბულაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5568138&instanceId=1,25.03.2022 18:36,1
არჩილ კოჭლამაზაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5467653&instanceId=1,14.02.2022 19:19,1
მალხაზ ჩუბინიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=1992961&instanceId=1,15.02.2022 00:17,2
ნინო ენუქიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5456360&instanceId=1,11.02.2022 14:13,2
ზაალ მარუაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5394343&instanceId=1,21.01.2022 14:35,4
თამარ ბურჯანაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5413576&instanceId=1,28.01.2022 12:25,6
თამარ ბურჯანაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5386661&instanceId=1,20.01.2022 12:08,4
ლიანა კაჟაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5386886&instanceId=1,24.01.2022 11:49,21
ივერი აბაშიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=1973169&instanceId=1,02.02.2022 17:11,9
ლიანა კაჟაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5167805&instanceId=1,14.01.2022 19:41,12
ლიანა კაჟაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5335702&instanceId=1,14.01.2022 18:21,8
ლიანა კაჟაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5332203&instanceId=1,14.01.2022 19:40,20
ციცინო კიკვაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=25323&instanceId=1,10.01.2022 11:26,4
ნონა ზარქუა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5335502&instanceId=1,31.12.2021 17:51,5
გოჩა დიდავა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5347773&instanceId=1,30.12.2021 11:51,6
ციცინო კიკვაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5247433&instanceId=1,01.12.2021 16:12,2
სალომე გველესიანი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5335501&instanceId=1,30.12.2021 16:58,7
ანა ჩოგოვაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=1444067&instanceId=1,16.12.2021 12:16,8
ზვიად ესებუა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5260217&instanceId=1,06.12.2021 17:44,15
ნათია შიოშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=401359&instanceId=1,22.11.2021 16:02,10
არჩილ კოჭლამაზაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5335500&instanceId=1,28.12.2021 17:23,7
ანა ჩოგოვაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=2066985&instanceId=1,09.11.2021 17:56,13
თამარ ბურჯანაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=1829476&instanceId=1,09.11.2021 14:11,12
გოჩა დიდავა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5190848&instanceId=1,16.11.2021 10:59,11
ვერა დობორჯგინიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=369339&instanceId=1,04.10.2021 17:06,2
თამარ ბურჯანაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4983720&instanceId=1,21.09.2021 17:45,8
ვერა დობორჯგინიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5034654&instanceId=1,12.10.2021 11:40,3
ნინო ენუქიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=5028629&instanceId=1,24.09.2021 12:12,1
ვერა დობორჯგინიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=651584&instanceId=1,17.09.2021 14:25,5
თინათინ ეცადაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=770347&instanceId=1,16.09.2021 17:37,2
ანა ჩოგოვაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4962757&instanceId=1,10.09.2021 11:25,2
ვერა დობორჯგინიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4847293&instanceId=1,31.08.2021 10:42,3
ლიანა კაჟაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4911036&instanceId=1,10.08.2021 14:59,1
არჩილ კოჭლამაზაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4941953&instanceId=1,12.08.2021 17:24,2
ივერი აბაშიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4795475&instanceId=1,05.07.2021 14:35,7
ნინო ენუქიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4949854&instanceId=1,24.08.2021 15:42,2
თინათინ ეცადაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=1450661&instanceId=1,09.08.2021 13:15,2
თამარ ბურჯანაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4879937&instanceId=1,02.08.2021 11:39,1
ლიანა კაჟაშვილი,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4907879&instanceId=1,10.08.2021 14:12,15
ნინო ენუქიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4768853&instanceId=1,01.07.2021 15:25,3
თამარ ბურჯანაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=744885&instanceId=1,22.06.2021 12:57,3
გოჩა დიდავა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4770744&instanceId=1,29.06.2021 05:02,8
თამარ ბურჯანაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=1089025&instanceId=1,22.06.2021 12:57,12
ივერი აბაშიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4721157&instanceId=1,11.06.2021 22:48,9
ანა ჩოგოვაძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4631450&instanceId=1,15.06.2021 11:48,16
მალხაზ ჩუბინიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=1188168&instanceId=1,11.06.2021 11:59,1
ვერა დობორჯგინიძე,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4394572&instanceId=1,15.06.2021 16:56,1
ნონა ზარქუა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4642925&instanceId=1,27.05.2021 15:48,2
გოჩა დიდავა,https://www.ecourt.ge/Insolvency/InsolvencyInner?docId=4566101&instanceId=1,25.04.2021 23:31,7
